,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2010-03-08,33.18,37.55,50.22,61.72,211.83,57.7,43.42,30.79,25.91,52.47,32.94,43.16,161.84,38.24,31.78,49.36,14.52,36.75,15.02,130.11,25.13,48.03,24.26,74.07,16.33,31.81,118.2,65.95,26.73,31.1,33.05,45.88,54.16,44.14,16.5,24.04,27.86,28.85,22.71,26.55,16.8,12.36,15.45,77.94,56.11,69.16,46.78,35.97,66.33,48.29,13.55,5.17,9.16,16.52,60.42,39.23,57.92,24.61,51.42,27.07
2010-03-09,33.26,37.54,50.25,62.23,215.64,57.89,44.25,31.08,26.06,52.38,33.49,42.85,160.89,38.49,31.46,49.28,14.72,37.15,14.92,128.82,25.31,48.32,24.13,74.69,16.28,31.83,117.39,65.65,26.82,30.99,32.91,46.01,54.41,43.88,16.56,27.07,27.83,28.81,22.25,26.6,16.72,12.24,15.51,76.67,56.2,70.12,46.61,36.01,66.35,48.43,13.72,5.15,9.01,16.53,60.69,39.07,57.9,24.61,51.29,27.02
2010-03-10,33.67,37.56,50.25,64.27,217.4,57.95,41.91,31.03,26.22,51.92,33.33,43.38,163.84,38.07,31.35,49.16,14.74,37.65,14.85,130.51,25.31,48.34,24.14,74.3,16.3,31.91,117.46,65.35,27.36,30.95,33.07,46.39,54.04,44.48,16.87,29.94,27.76,28.84,22.61,26.74,17.57,12.26,15.45,76.36,55.95,70.43,46.69,36.15,66.59,48.34,13.84,5.09,9.11,16.79,61.09,39.54,57.76,24.36,51.73,27.04
2010-03-11,33.55,37.93,50.15,64.32,218.04,58.44,40.16,31.17,26.41,52.12,32.9,42.88,165.33,38.3,31.05,49.47,14.71,38.17,14.97,133.58,25.52,48.41,24.07,74.02,16.34,31.84,119.31,65.38,27.54,31.08,32.89,46.73,54.15,44.8,16.88,29.01,27.88,29.22,22.14,26.78,17.47,12.35,15.29,76.94,56.09,70.82,46.85,36.32,66.78,48.56,13.75,5.15,9.25,16.53,61.09,39.77,58.0,24.45,51.89,26.88
2010-03-12,33.8,38.54,49.88,64.1,219.1,58.55,40.53,31.16,26.49,52.44,33.66,42.98,166.71,38.33,31.04,49.41,15.21,37.34,14.79,131.82,25.85,48.37,23.96,74.13,16.2,31.71,119.63,65.14,27.42,31.2,32.86,46.54,55.49,44.85,16.61,28.28,27.77,29.51,22.07,26.81,17.5,12.76,15.51,76.99,56.22,70.87,46.67,36.6,66.42,48.88,13.79,5.21,9.14,16.32,60.71,39.74,58.28,24.37,51.29,27.07
2010-03-15,33.78,38.48,49.77,63.71,216.43,59.5,40.04,31.08,26.51,52.68,33.81,42.9,165.35,38.43,31.26,50.8,15.43,37.61,14.94,131.13,25.78,48.44,24.09,74.02,16.3,32.15,119.53,65.01,27.66,31.19,32.96,46.22,54.67,46.1,16.61,28.35,27.7,29.73,22.02,26.91,17.43,12.81,15.45,78.09,56.56,71.75,46.69,36.4,66.33,49.01,13.79,5.19,9.26,16.46,60.26,39.67,58.64,24.56,51.54,26.69
2010-03-16,34.12,38.69,49.99,63.08,217.02,59.42,40.66,31.13,26.58,52.83,34.48,43.31,167.89,38.54,31.57,51.33,16.13,37.57,14.94,131.79,25.94,48.51,24.12,74.39,16.26,32.88,120.31,65.37,28.02,31.6,33.15,46.66,54.66,45.85,16.79,27.77,28.24,29.6,22.7,27.02,17.6,12.9,15.3,79.43,56.41,72.17,46.97,36.0,66.38,48.94,13.83,5.32,9.33,16.36,60.5,39.83,58.76,24.62,51.8,27.08
2010-03-17,34.65,38.78,50.02,63.69,216.7,59.87,41.26,31.14,26.81,53.18,35.21,44.23,168.31,38.55,31.54,51.26,16.1,37.8,14.9,131.34,25.87,48.48,24.18,74.86,16.35,32.42,119.46,65.98,28.27,32.08,33.41,46.87,55.36,45.68,17.02,28.43,28.37,29.58,22.91,27.03,17.69,13.48,15.38,79.3,56.84,72.38,47.09,35.79,67.52,48.83,14.11,5.32,9.15,16.5,61.22,40.33,59.04,24.73,52.01,27.04
2010-03-18,34.48,38.77,50.02,65.06,217.22,59.83,42.29,32.31,26.8,53.5,35.25,44.21,169.09,38.61,31.85,51.28,16.24,38.36,14.92,132.76,25.89,48.58,24.23,76.22,16.43,32.27,120.04,66.06,28.03,32.59,33.3,46.24,54.95,44.69,16.84,28.62,28.33,29.47,22.73,27.15,17.59,13.13,15.3,78.81,56.59,73.3,46.98,35.69,67.76,49.3,14.08,5.24,9.12,16.56,61.25,40.19,59.31,24.8,52.13,26.84
2010-03-19,34.25,38.13,50.05,64.92,214.9,59.87,41.92,31.78,26.78,53.62,35.39,43.81,169.52,38.64,31.59,50.73,16.13,38.64,14.64,130.35,26.18,48.48,24.59,74.66,16.3,32.06,119.41,66.26,28.11,32.41,32.79,45.64,54.58,45.17,16.58,28.75,28.41,29.43,22.4,26.97,17.39,12.71,15.09,79.56,56.68,74.12,47.5,35.96,67.98,49.07,13.94,5.22,8.85,16.44,60.93,40.02,59.17,24.62,52.53,26.33
2010-03-22,34.08,38.84,50.24,66.01,217.31,59.64,42.65,32.14,26.79,54.99,35.47,43.84,167.86,38.69,32.32,50.99,16.13,38.84,14.85,130.47,26.62,48.39,24.49,74.55,16.53,31.84,119.67,65.8,28.14,33.22,33.39,45.63,55.12,45.77,16.72,27.58,28.44,29.71,22.74,27.06,17.37,13.38,15.15,80.19,56.72,73.1,48.15,36.06,68.14,49.5,14.14,5.28,9.13,16.34,60.87,40.29,59.6,24.75,52.04,26.33
2010-03-23,34.35,38.99,50.38,66.26,220.8,60.14,42.96,32.11,27.04,55.43,35.58,44.77,166.59,38.87,32.85,51.23,16.36,40.44,15.18,129.26,26.8,48.79,24.83,75.02,16.82,31.81,120.97,66.07,28.76,33.68,34.09,45.8,57.38,45.83,16.89,27.49,28.45,29.64,23.41,28.02,17.38,13.29,15.13,82.35,57.3,72.31,48.69,36.26,69.29,49.69,14.72,5.25,9.35,16.03,60.85,41.06,59.9,25.09,52.25,26.28
2010-03-24,34.36,38.78,50.26,66.39,221.78,59.6,43.28,31.83,26.83,54.89,35.26,43.83,166.19,38.41,32.38,50.95,16.47,38.7,15.25,128.04,26.73,48.33,24.53,74.34,16.91,31.08,120.18,65.33,28.56,34.08,33.7,44.98,57.06,45.6,17.32,27.4,28.42,29.39,22.8,27.96,17.71,13.29,15.31,81.58,56.48,71.54,48.55,35.53,68.21,49.61,14.5,5.15,9.12,16.09,60.44,41.39,59.41,24.91,52.04,25.83
2010-03-25,33.7,39.16,50.39,66.54,219.15,59.86,43.8,31.65,27.16,55.02,35.0,43.85,166.66,37.99,33.23,50.98,16.33,37.66,15.05,134.73,27.16,47.95,24.61,73.72,17.15,31.26,120.84,65.21,28.74,33.26,34.56,44.79,57.13,45.51,17.49,28.51,28.4,29.67,22.8,28.03,17.01,13.2,15.24,80.33,56.49,71.24,48.22,35.48,68.64,50.02,14.38,5.1,8.89,16.32,60.26,41.39,59.5,24.89,52.08,25.74
