,COP,AXP,RTN,BA,AAPL,PEP,NAV,GSK,MSFT,KMB,R,SAP,GS,CL,WAG,WMT,GE,SNE,PFE,AMZN,MAR,NVS,KO,MMM,CMCSA,SNY,IBM,CVX,WFC,DD,CVS,TOT,CAT,CAJ,BAC,AIG,TWX,HD,TXN,KFT,VLO,F,CVC,TM,PG,LMT,K,HMC,GD,HPQ,DELL,MTU,XRX,YHOO,XOM,JPM,MCD,CSCO,NOC,UN
2010-10-25,40.95,37.67,42.43,66.57,298.62,59.4,48.75,34.06,23.02,59.24,41.39,50.72,150.72,35.7,31.82,50.03,14.53,33.56,15.59,169.0,33.92,51.6,27.84,83.85,18.68,30.63,132.08,76.4,23.88,42.81,29.88,44.63,74.02,46.49,11.02,33.95,29.19,29.0,26.9,30.41,15.3,13.53,17.19,71.36,57.74,61.93,44.75,36.13,58.81,40.24,14.23,4.71,10.87,16.4,61.01,34.27,71.11,22.23,49.62,26.79
2010-10-26,40.97,38.43,42.8,66.23,297.86,59.16,48.76,33.94,23.67,55.8,40.85,51.25,151.59,35.51,31.55,50.6,14.62,33.91,15.47,169.95,34.1,51.06,27.95,83.45,18.55,30.36,132.86,76.65,24.05,42.38,29.44,44.75,73.65,45.76,11.16,34.72,29.04,28.9,26.81,30.28,15.49,13.73,17.22,70.87,57.12,62.27,44.47,35.99,58.83,40.31,14.04,4.64,10.77,16.46,61.31,34.39,71.17,22.03,49.98,26.45
2010-10-27,40.47,38.99,42.58,65.82,297.64,58.69,47.35,33.68,23.81,55.57,40.42,48.59,153.37,35.07,31.37,49.96,14.58,33.85,15.29,167.51,34.05,50.92,27.92,83.36,19.15,30.22,133.58,75.9,23.91,42.14,29.51,44.07,73.24,45.65,11.39,34.55,29.01,28.54,27.33,29.97,15.67,13.61,17.56,70.91,57.32,61.48,44.3,36.18,60.05,39.78,14.19,4.56,10.82,16.42,60.52,34.71,70.01,21.93,50.0,26.09
2010-10-28,40.13,39.51,41.08,66.2,295.14,59.37,47.01,33.7,24.02,55.74,40.41,48.92,156.33,34.8,31.55,50.15,14.55,33.82,15.54,166.84,33.88,51.28,27.93,78.47,19.71,30.58,133.08,76.02,24.08,42.21,29.33,44.77,72.79,46.6,11.38,34.68,29.85,28.81,27.26,30.1,15.68,13.6,17.34,71.13,57.42,61.59,44.57,36.42,62.22,40.03,14.11,4.6,10.95,16.4,61.03,34.68,70.01,21.84,50.7,26.38
2010-10-29,40.01,39.74,41.48,65.62,291.02,59.63,48.18,33.41,24.37,56.45,40.53,49.02,154.31,35.82,31.31,50.24,14.5,33.84,15.41,165.23,33.45,51.24,27.98,77.69,19.49,30.87,135.63,74.36,24.19,42.43,28.83,44.83,73.6,46.0,11.3,34.71,29.99,28.54,27.57,30.22,15.45,13.51,17.39,70.82,57.76,61.83,45.37,36.03,62.53,39.45,13.93,4.66,10.96,16.49,61.27,34.79,70.27,21.53,51.5,26.39
2010-11-01,39.71,39.83,42.22,65.47,294.11,59.86,49.43,33.64,24.63,55.41,40.74,48.83,154.73,35.88,31.46,50.37,14.43,32.7,15.59,162.58,33.79,50.86,28.16,77.47,19.37,30.79,135.36,73.32,24.07,42.09,28.61,44.73,74.23,45.56,11.35,34.63,29.82,28.37,27.45,29.77,15.34,13.61,17.68,69.63,57.81,61.98,45.81,34.33,62.29,39.88,13.94,4.53,10.88,16.15,61.7,34.6,70.37,21.58,51.74,26.32
2010-11-02,39.97,40.63,43.03,64.82,299.12,60.09,50.78,33.41,25.03,56.1,41.14,49.53,155.92,36.25,31.87,50.81,14.42,32.71,15.44,164.61,34.26,51.54,28.23,78.22,19.54,31.28,135.85,73.95,24.11,42.56,29.21,45.93,74.68,45.71,11.25,34.8,29.9,29.1,27.6,29.82,15.49,13.8,17.75,70.23,58.17,62.13,44.85,34.25,62.41,40.27,13.9,4.53,10.98,16.19,62.52,34.17,70.84,21.82,52.62,26.78
2010-11-03,40.02,40.32,42.96,64.43,302.45,59.54,52.03,33.59,24.7,56.12,41.39,49.49,155.74,36.44,32.51,50.92,14.53,32.86,15.56,168.47,34.33,51.84,28.27,78.68,19.53,31.18,136.17,74.45,24.61,42.23,29.53,46.19,74.8,45.92,11.37,35.99,29.58,29.06,27.97,29.57,15.61,14.52,17.97,70.71,58.44,61.51,44.75,34.4,62.38,41.11,14.01,4.58,10.96,16.17,62.64,34.87,70.93,22.33,52.37,26.78
2010-11-04,41.26,41.91,43.26,66.21,307.74,59.68,54.25,34.27,24.8,56.13,41.91,50.21,159.34,36.43,33.22,51.34,14.94,33.21,15.53,168.93,35.35,52.22,28.5,80.29,19.9,31.92,138.64,76.65,25.54,43.4,30.15,47.44,77.89,47.33,11.97,36.96,29.3,29.5,28.67,29.77,16.29,15.17,18.44,72.73,59.06,62.41,44.51,34.76,63.5,41.36,14.05,4.68,11.18,16.2,63.94,36.8,71.55,22.8,53.17,28.35
2010-11-05,41.64,42.24,43.34,66.6,306.64,59.43,54.76,34.95,24.54,56.17,41.9,49.68,163.83,36.03,32.47,51.19,15.14,33.4,15.35,170.77,35.71,51.85,28.56,79.64,19.88,31.54,138.76,76.5,27.18,43.24,29.6,47.03,78.23,48.13,12.2,37.68,28.91,29.48,29.34,29.11,16.47,15.5,18.66,72.64,59.06,63.54,44.52,35.75,63.95,41.03,13.99,4.66,11.15,16.27,64.51,37.85,71.66,22.84,53.23,28.29
2010-11-08,42.04,42.08,43.5,65.61,308.08,59.46,54.11,34.66,24.5,55.99,41.75,49.35,162.03,36.01,32.42,50.92,15.12,33.67,15.24,171.99,35.64,51.27,28.5,79.2,19.75,31.22,138.94,76.34,27.01,43.41,29.88,46.71,77.83,48.03,12.44,36.87,29.08,29.09,29.26,29.15,16.53,15.69,19.06,73.74,58.84,63.56,44.52,36.36,63.71,41.53,13.82,4.64,10.99,16.44,64.8,37.45,71.67,22.97,53.23,28.0
2010-11-09,41.78,41.56,43.22,64.72,305.62,59.63,52.95,33.89,24.63,55.4,41.12,48.93,159.5,35.76,32.56,51.05,15.04,33.31,15.18,170.27,34.81,50.33,28.58,78.68,19.62,31.05,138.64,75.22,26.17,42.73,29.69,46.54,76.7,47.56,12.11,35.41,29.35,29.07,29.22,28.68,16.47,15.37,19.07,73.1,58.89,62.92,44.18,36.41,63.52,41.4,13.94,4.6,11.03,16.97,65.5,36.89,71.48,22.93,53.18,27.64
2010-11-10,42.58,41.75,43.17,62.68,307.51,59.59,52.02,34.14,24.62,55.13,41.3,48.45,160.14,35.74,32.6,50.55,14.98,33.56,15.04,173.33,35.38,50.23,28.54,79.56,19.58,30.65,139.03,76.67,26.58,42.72,29.78,46.53,77.21,48.74,12.41,35.52,29.44,29.26,29.22,28.57,16.82,15.9,19.61,75.0,58.67,62.37,44.12,36.9,62.62,41.44,14.02,4.84,10.84,16.94,65.96,37.55,71.84,23.06,53.13,27.65
2010-11-11,42.36,41.55,42.44,61.09,306.17,59.27,52.45,34.01,24.38,55.39,41.18,48.05,160.61,35.65,32.7,50.4,14.8,33.32,15.18,170.37,35.33,49.91,28.66,79.79,19.54,30.23,137.97,77.5,26.22,42.72,29.53,46.17,77.2,48.57,12.21,35.12,28.69,29.28,28.72,28.53,17.18,15.88,19.26,75.25,58.48,60.8,44.46,36.76,61.89,40.45,13.48,4.8,10.72,16.8,66.61,37.0,72.02,19.32,52.2,27.54
2010-11-12,42.05,40.93,41.77,58.96,297.84,59.03,50.87,33.9,24.01,55.27,40.32,47.66,158.81,35.57,32.34,50.2,14.7,32.95,15.06,165.68,34.8,49.2,28.71,79.55,19.3,29.89,136.36,76.92,25.62,42.11,28.93,45.64,75.88,47.75,11.96,34.54,28.36,29.04,28.86,28.68,17.19,15.59,18.96,75.51,58.46,60.26,44.19,36.31,61.05,39.61,12.98,4.7,10.58,16.55,65.83,36.62,71.25,18.97,51.24,27.24
2010-11-15,41.81,40.93,41.89,59.45,296.88,58.83,51.86,33.57,23.94,55.42,40.36,47.05,160.14,36.4,32.05,50.03,14.66,33.64,14.97,158.9,34.58,49.83,28.73,79.51,19.45,29.54,136.27,76.39,25.72,41.92,28.75,45.44,76.62,47.71,11.95,35.04,28.14,28.99,28.76,28.84,16.84,16.26,18.88,75.66,58.42,60.16,44.05,36.55,61.09,39.92,13.07,4.72,10.6,16.6,65.36,37.05,71.45,18.79,51.33,27.07
2010-11-16,41.05,40.19,41.32,58.67,291.61,58.48,51.65,32.98,23.73,54.84,39.51,46.5,158.11,35.68,31.58,50.32,14.35,33.67,14.84,157.78,34.02,49.29,28.33,77.71,19.14,28.98,134.94,74.89,25.29,41.35,28.37,43.91,75.26,47.01,11.79,34.46,28.17,29.29,28.5,28.42,16.19,15.79,18.84,74.93,57.66,59.56,44.18,35.9,60.16,39.23,12.96,4.64,10.34,16.24,63.93,36.62,69.96,18.31,50.43,26.78
2010-11-17,40.96,39.69,41.71,58.41,290.56,58.39,51.76,33.86,23.51,54.96,39.89,46.43,157.91,35.94,31.58,49.87,14.31,34.47,14.73,158.35,34.2,49.25,28.53,77.92,19.26,29.3,134.67,74.87,24.98,41.33,28.54,44.06,76.01,47.53,11.47,34.52,28.17,28.48,28.82,28.56,16.48,15.95,18.89,75.85,57.49,59.45,44.12,36.95,60.03,38.45,12.91,4.76,10.44,16.15,64.0,36.22,70.82,18.28,50.55,26.9
2010-11-18,41.59,40.49,42.37,60.38,298.22,59.15,52.88,34.44,23.76,55.35,40.67,47.16,160.26,36.33,31.96,50.06,14.51,35.41,15.04,164.17,35.04,50.22,29.13,79.41,19.43,30.12,136.95,76.1,25.59,42.12,29.46,44.86,77.82,48.48,11.55,35.16,28.14,28.51,29.35,28.77,17.05,15.41,20.18,77.29,58.17,59.97,44.57,37.99,61.55,39.12,13.22,4.95,10.88,16.99,65.2,36.67,71.4,18.47,51.38,27.64
2010-11-19,41.71,40.97,42.31,59.43,296.58,59.09,53.08,34.36,23.62,55.11,40.84,47.36,159.61,36.47,32.28,50.44,14.68,35.4,15.01,164.82,35.3,50.09,29.35,78.91,19.42,30.01,137.61,76.21,25.57,42.64,29.69,45.03,78.63,48.42,11.51,35.3,28.37,28.84,29.78,28.51,16.89,15.57,20.39,78.47,58.2,60.21,44.21,37.88,61.14,39.88,13.45,4.97,10.95,16.57,65.42,36.43,71.96,18.47,51.54,27.82
2010-11-22,41.42,40.47,41.88,59.84,302.99,59.08,52.65,34.21,23.66,55.36,40.63,46.82,154.23,36.41,32.4,50.43,14.51,35.37,14.86,170.39,35.43,50.04,29.33,78.81,19.27,29.57,137.93,75.77,25.07,42.36,29.64,44.46,78.66,48.46,11.16,34.81,28.43,28.72,30.06,28.61,16.99,15.49,20.18,78.47,57.76,59.53,44.35,37.36,60.83,40.59,13.5,4.9,10.98,16.56,65.09,35.6,71.86,18.42,50.74,27.69
2010-11-23,40.77,40.21,41.8,59.44,298.51,58.34,51.38,33.38,23.1,54.77,40.06,46.14,151.1,36.12,31.56,49.77,14.26,34.45,14.81,168.2,34.93,48.66,29.03,77.59,19.04,28.55,135.83,74.22,24.93,41.69,29.66,43.14,77.37,47.5,10.95,33.75,27.55,28.55,29.82,28.31,16.71,15.01,20.16,77.43,56.89,59.25,44.5,36.63,61.03,41.47,13.37,4.84,10.78,16.19,63.97,34.79,71.39,18.08,49.93,26.67
2010-11-24,41.39,41.21,42.31,61.13,304.38,58.74,52.94,33.45,23.33,54.62,41.31,45.63,153.47,36.21,31.86,50.09,14.42,35.0,14.92,177.25,35.92,48.71,29.48,78.58,19.25,28.67,138.33,75.3,25.22,42.6,30.2,43.11,79.3,48.59,11.14,34.5,28.01,28.78,30.35,28.6,17.12,15.25,20.54,78.93,56.88,59.98,44.4,37.26,62.44,41.05,13.43,4.85,11.06,16.41,64.8,35.28,71.82,18.32,51.06,26.79
2010-11-26,40.96,40.51,41.84,60.56,304.58,58.35,52.58,33.73,23.22,54.94,40.9,45.84,151.52,35.94,31.28,49.84,14.3,34.58,14.74,177.2,35.65,48.52,29.26,78.34,19.1,28.25,136.52,74.5,24.79,41.92,29.8,42.46,78.78,47.72,10.98,34.08,28.16,28.63,30.02,28.38,16.88,15.4,20.45,78.36,56.46,59.67,44.66,36.84,61.61,40.54,13.2,4.74,11.02,16.22,64.2,34.67,70.97,18.35,50.7,26.4
2010-11-29,40.87,41.53,41.89,60.15,306.38,58.45,51.73,33.13,23.27,54.84,40.96,45.13,152.53,35.85,32.32,49.94,14.45,35.0,14.8,179.49,35.42,48.26,29.13,78.18,19.09,27.38,135.56,74.17,25.3,42.47,30.08,41.73,78.35,47.76,11.17,34.31,27.78,28.35,30.02,28.28,16.89,15.36,20.52,78.25,56.46,59.8,44.77,36.74,60.87,39.98,13.13,4.74,10.87,16.38,64.41,35.05,71.27,18.31,50.26,25.97
2010-11-30,40.53,41.42,41.63,59.59,300.85,59.02,51.18,32.76,23.23,55.16,40.19,44.47,149.86,35.55,32.36,50.16,14.32,35.48,14.57,175.4,35.48,47.23,29.03,77.95,18.93,26.83,134.2,73.52,25.31,42.54,29.66,41.29,79.22,47.06,10.81,34.11,27.39,28.12,29.65,28.33,16.81,15.24,20.68,77.69,55.49,59.66,44.81,36.23,60.67,39.35,12.79,4.71,10.74,15.82,64.51,34.58,71.31,18.04,50.64,25.47
2010-12-01,42.07,42.46,42.53,61.42,305.93,60.38,54.49,33.08,23.94,55.67,41.43,45.1,152.07,35.87,33.12,50.73,14.75,36.47,14.93,176.55,36.4,47.85,29.73,79.87,19.68,27.66,137.0,75.09,25.61,43.77,30.49,41.96,81.89,47.92,11.16,34.93,28.06,29.42,30.37,28.69,17.4,15.74,21.01,79.58,56.47,60.85,45.0,37.27,62.07,39.95,12.97,4.77,11.02,16.15,66.15,35.27,72.21,18.19,52.01,26.1
2010-12-02,42.91,43.11,43.5,62.23,307.62,59.98,56.57,33.32,24.73,54.97,42.13,45.45,155.96,36.12,33.53,50.78,15.09,36.56,14.92,176.53,36.67,48.29,29.82,80.3,19.57,27.85,137.73,76.72,26.77,44.02,30.6,42.65,82.98,48.95,11.54,35.42,28.28,31.05,30.63,28.5,17.89,16.05,20.81,79.02,56.67,61.2,45.08,37.67,62.24,40.46,13.2,4.82,11.03,16.33,66.29,36.34,72.29,18.1,52.57,26.6
2010-12-03,43.06,43.01,42.69,62.18,306.94,59.96,58.65,33.53,24.85,55.27,42.13,46.45,155.78,36.2,34.23,50.66,15.18,36.32,14.94,175.68,37.09,48.41,29.64,80.7,19.57,28.24,137.92,77.07,27.02,44.57,31.02,43.46,83.69,49.62,11.72,36.15,28.46,31.16,30.6,28.4,18.19,16.07,21.29,79.05,56.64,60.66,45.05,38.2,62.04,40.38,13.24,4.87,11.09,16.35,66.02,36.62,72.64,17.96,51.89,26.92
2010-12-06,43.23,43.13,42.49,62.23,309.56,59.55,57.98,33.44,24.68,54.97,42.29,46.27,156.1,36.11,33.76,50.53,15.11,36.57,15.02,178.05,37.1,48.19,29.4,80.64,19.46,28.07,137.55,77.13,26.73,44.29,31.11,43.61,83.53,49.15,11.5,36.02,28.89,31.03,30.72,28.37,18.1,15.92,21.51,79.14,56.39,60.31,44.87,37.95,62.08,40.21,13.25,4.86,11.06,16.33,66.13,36.89,72.47,18.3,52.31,27.01
2010-12-07,43.36,42.92,42.49,61.89,307.68,59.51,57.8,33.67,24.71,55.2,42.7,46.39,155.09,36.31,33.64,51.09,15.41,36.1,14.99,176.77,37.0,48.26,29.47,78.15,19.64,28.27,136.63,78.35,26.48,44.32,31.63,43.78,84.6,48.93,11.43,36.31,28.98,31.23,31.15,28.7,18.33,15.84,21.7,78.67,56.47,60.89,44.51,37.17,63.09,39.59,13.16,4.81,11.11,16.94,66.27,36.29,73.16,18.26,52.85,27.59
2010-12-08,43.52,43.73,41.82,60.91,310.39,59.46,57.45,33.76,25.04,55.79,42.58,46.2,159.45,36.53,33.87,50.81,15.42,36.36,14.94,176.29,37.39,48.32,29.59,78.6,19.64,28.69,137.54,78.21,27.32,44.25,31.86,43.96,83.92,48.79,11.86,34.88,29.18,31.68,31.47,29.06,18.2,15.96,21.75,78.36,56.91,60.26,45.18,37.26,62.85,40.03,13.23,4.81,11.17,17.02,66.63,37.22,71.71,18.22,52.84,27.64
2010-12-09,43.56,43.91,41.29,60.38,309.18,59.54,58.1,33.87,24.9,55.83,43.6,46.46,159.75,36.32,33.77,50.67,15.5,36.2,14.98,174.85,37.75,48.49,29.79,78.07,19.7,28.74,136.89,78.67,27.97,43.74,32.14,44.19,83.97,48.98,12.5,39.47,29.16,31.95,31.46,29.12,18.11,16.03,21.78,77.97,57.13,59.89,45.3,37.77,63.24,39.92,13.2,4.99,11.25,16.95,66.77,37.73,70.68,18.55,52.22,27.74
2010-12-10,43.5,44.34,41.03,59.96,309.95,59.71,58.03,33.92,25.14,55.58,44.44,46.45,161.69,36.33,33.83,50.62,16.04,35.83,15.21,175.62,37.97,48.4,29.71,78.27,20.13,28.76,137.39,79.02,28.16,44.01,32.19,44.18,84.22,48.99,12.65,40.44,29.53,32.02,30.58,28.8,18.66,16.0,22.67,77.26,57.43,60.36,45.31,37.54,63.85,40.0,13.44,5.0,11.25,17.01,66.94,38.3,70.63,18.55,52.67,27.68
2010-12-13,44.1,44.44,40.93,59.61,311.03,60.29,58.45,34.21,25.06,55.53,43.44,46.82,162.66,36.86,33.84,50.55,15.94,35.88,15.36,174.25,37.8,48.74,29.8,79.18,20.14,28.9,136.88,80.23,28.11,43.96,32.29,45.03,85.8,49.0,12.39,40.08,29.38,32.17,30.39,28.92,18.43,15.75,22.59,77.98,57.42,60.17,45.71,37.88,63.71,39.16,12.92,5.14,11.17,16.7,67.1,38.38,70.22,18.44,52.54,28.0
2010-12-14,44.22,44.28,41.07,60.27,309.69,60.34,58.91,34.11,25.4,55.86,43.85,47.16,160.6,37.52,34.13,50.78,16.01,35.63,15.29,173.94,37.63,49.37,29.36,79.68,20.77,29.15,138.34,80.24,27.74,44.47,32.61,45.54,86.23,48.79,12.25,42.77,29.23,32.32,30.58,29.4,18.47,15.7,22.66,78.04,57.75,61.39,46.43,37.95,64.24,39.06,12.88,5.13,11.15,16.63,66.94,37.71,70.22,18.4,53.12,28.22
2010-12-15,43.86,44.2,40.38,60.03,309.76,60.02,59.23,34.06,25.61,55.84,45.94,46.68,158.56,37.62,34.48,50.57,15.83,35.65,15.26,175.57,37.02,52.16,29.75,79.65,20.42,28.83,137.29,79.91,27.71,44.57,32.38,44.66,87.2,48.78,12.14,42.29,29.12,32.38,30.43,29.48,18.16,15.83,22.65,78.14,57.83,61.13,46.47,37.78,63.66,38.77,12.86,5.06,10.87,16.45,66.63,37.17,70.11,18.33,52.34,27.93
2010-12-16,44.24,42.72,40.86,60.18,310.62,60.49,59.48,34.26,25.74,56.06,46.64,46.9,157.84,37.71,35.03,50.94,16.08,35.59,15.39,178.04,37.34,52.05,30.02,80.2,20.45,28.68,137.13,80.86,27.92,44.76,33.07,44.83,87.27,49.66,12.37,43.04,29.03,32.69,30.41,29.63,18.39,16.04,22.67,78.3,58.61,61.7,46.54,38.39,64.64,39.44,12.89,5.15,11.07,16.51,66.97,36.99,69.86,18.6,53.01,28.18
2010-12-17,43.82,42.18,40.66,60.77,310.0,60.69,58.49,33.81,25.65,56.52,47.19,47.38,157.44,37.62,34.9,50.74,16.02,35.39,15.22,177.58,37.69,51.94,30.19,80.17,20.24,28.35,137.56,80.34,27.87,45.13,32.91,44.65,86.7,49.5,12.42,43.42,29.27,32.67,30.33,29.91,18.19,16.07,22.35,77.48,58.89,61.44,46.63,38.48,64.52,39.45,13.19,5.17,11.01,16.38,66.93,36.68,69.95,18.41,52.64,28.0
2010-12-20,44.45,40.73,40.47,59.13,311.55,61.01,57.82,33.67,25.57,56.8,47.49,46.94,159.37,37.36,34.62,50.14,16.02,35.19,15.35,183.29,38.5,51.97,30.01,81.07,20.72,28.31,137.09,80.62,28.0,45.01,32.87,44.61,87.36,49.41,12.47,44.13,29.4,32.76,30.14,29.72,19.14,16.11,22.39,77.23,59.04,61.07,46.74,39.18,64.27,39.39,12.92,5.2,11.06,16.28,66.97,36.93,70.05,18.48,52.61,27.97
2010-12-21,44.88,41.43,40.46,59.99,313.47,60.17,59.17,33.45,25.81,56.78,47.86,47.54,161.46,37.11,34.2,50.03,16.2,36.24,15.53,184.75,38.35,52.08,30.09,80.32,21.02,28.4,138.26,81.02,28.67,45.23,32.99,45.06,88.61,50.26,12.83,45.59,29.58,32.65,30.24,29.82,19.67,16.25,22.61,78.01,58.95,61.2,46.52,39.45,64.43,39.4,13.39,5.24,11.14,16.6,67.44,37.9,70.0,18.39,52.95,28.0
2010-12-22,45.15,41.03,41.05,60.38,314.4,60.43,57.17,33.43,25.92,56.92,47.76,47.55,162.78,37.58,36.08,49.71,16.47,35.48,15.69,184.76,38.19,52.32,30.14,80.5,20.97,28.59,138.46,81.64,29.12,45.08,33.44,45.05,88.55,50.81,13.22,46.06,29.98,32.75,30.27,29.86,19.6,16.25,22.36,77.69,59.02,60.81,46.69,39.42,64.75,39.0,13.43,5.28,11.02,16.63,67.51,38.98,70.13,18.42,53.47,27.89
2010-12-23,45.19,40.99,41.03,60.8,312.89,60.44,57.55,33.53,26.02,56.95,47.48,47.62,160.86,37.4,36.39,49.98,16.45,35.57,15.74,182.59,38.09,52.01,30.13,80.26,20.95,28.57,138.4,82.33,28.83,45.05,33.21,45.09,88.44,50.72,12.9,44.88,30.01,32.66,30.17,29.86,19.86,16.05,22.06,77.66,59.28,60.72,46.55,39.34,65.2,39.24,13.34,5.3,10.95,16.72,67.88,38.9,70.09,18.54,53.26,28.05
2010-12-27,45.23,41.26,41.02,60.51,313.94,60.19,58.19,33.5,25.81,56.89,47.74,47.9,163.0,37.35,36.18,49.96,16.59,35.61,15.63,182.14,37.81,51.83,29.9,80.77,20.88,28.25,137.88,81.82,29.03,44.93,33.15,44.74,88.09,51.85,13.11,49.06,29.98,32.8,30.19,29.61,19.86,16.13,21.92,77.9,58.76,60.77,46.48,39.54,65.27,39.32,13.32,5.3,10.9,16.48,67.71,39.45,69.6,18.98,53.07,28.04
2010-12-28,45.5,41.01,41.09,60.61,314.7,60.06,57.94,33.49,25.76,57.09,47.9,47.83,162.38,37.52,36.65,50.11,16.71,35.84,15.72,181.09,37.85,52.28,30.03,80.51,20.86,28.13,138.23,82.79,29.02,45.1,33.25,44.71,87.73,51.5,13.18,48.68,29.94,32.66,30.06,29.84,19.77,16.0,22.07,78.25,58.85,61.01,46.55,39.54,65.2,39.72,13.24,5.34,10.85,16.43,68.09,39.39,69.6,19.16,53.21,28.11
2010-12-29,45.76,41.08,40.91,60.79,314.53,60.1,58.15,33.61,25.72,56.9,47.92,48.1,160.88,37.37,36.66,50.43,16.66,35.87,15.73,183.37,37.78,52.31,30.07,80.53,20.74,28.46,139.0,82.96,28.85,45.28,33.39,45.43,87.81,51.3,13.15,47.31,29.73,32.48,30.31,29.83,20.15,16.01,22.14,79.1,58.52,60.61,46.52,39.58,65.02,39.79,13.2,5.42,10.93,16.61,68.04,39.16,70.11,19.07,53.26,28.26
2010-12-30,45.8,40.74,41.36,60.75,312.95,59.91,58.0,33.41,25.61,56.79,48.24,47.65,160.89,37.3,36.44,50.42,16.59,35.57,15.63,182.75,37.52,52.12,30.1,80.33,20.86,28.39,139.14,83.17,28.67,44.98,33.49,45.19,87.9,51.2,13.12,47.53,29.79,32.45,30.3,29.78,19.97,15.96,22.26,78.35,58.41,60.23,46.53,39.09,64.97,39.73,13.2,5.36,10.8,16.76,68.03,39.04,69.9,19.05,52.9,28.31
2010-12-31,45.87,41.14,41.71,60.99,311.89,60.1,57.91,33.56,25.66,56.79,49.07,47.96,161.39,37.33,36.18,50.29,16.68,35.71,15.65,180.0,37.59,52.13,30.22,80.11,20.76,28.33,139.23,82.85,28.83,45.15,33.27,45.27,87.7,51.34,13.18,47.6,29.88,32.63,30.3,29.78,19.95,16.06,22.1,78.63,58.46,61.3,46.49,39.5,65.14,39.58,13.11,5.41,10.84,16.63,67.81,39.22,69.9,19.05,53.18,28.18
2011-01-03,45.97,41.6,41.82,62.05,318.66,60.49,57.17,33.59,25.73,56.42,49.0,48.57,166.09,37.06,36.51,50.88,16.67,36.38,15.8,184.22,38.0,52.38,29.97,80.56,21.23,28.85,139.91,83.48,29.37,45.29,33.53,45.94,88.16,52.26,14.02,47.96,30.09,32.87,30.51,29.93,20.49,16.5,22.14,79.43,58.86,61.26,46.31,40.02,64.23,40.19,13.24,5.48,11.01,16.75,69.13,40.29,69.76,19.29,53.49,28.46
2011-01-04,45.72,42.12,42.64,62.56,320.33,60.18,56.49,34.11,25.83,56.66,48.43,48.41,166.12,37.01,36.82,51.08,16.97,36.16,16.08,185.01,37.25,51.64,29.35,80.45,21.29,29.1,140.06,83.17,29.44,45.16,33.51,46.47,87.75,51.84,14.07,46.91,30.62,32.27,30.46,29.87,20.01,16.62,22.53,79.86,59.02,61.65,46.68,39.6,64.52,41.02,13.24,5.43,10.72,16.59,69.46,40.87,67.67,19.32,53.66,28.3
2011-01-05,45.5,43.35,43.29,63.06,322.95,61.26,58.09,33.32,25.75,56.85,48.45,47.71,167.0,36.78,37.33,50.74,17.0,36.21,16.19,187.42,37.62,51.05,29.17,80.45,21.58,28.91,139.5,83.02,30.11,45.46,33.86,46.17,88.51,51.47,14.33,50.35,30.81,32.17,30.58,29.8,20.5,17.11,22.97,80.2,58.88,63.06,46.48,39.19,64.82,41.56,13.42,5.3,10.78,16.91,69.27,41.37,67.99,19.56,53.94,27.87
2011-01-06,45.11,43.05,44.21,64.3,322.69,61.49,58.52,33.41,26.5,56.77,48.61,47.14,165.28,36.56,37.44,50.32,16.93,36.01,16.25,185.86,36.99,51.32,28.96,79.96,21.6,28.77,141.03,82.34,29.9,45.24,33.51,45.85,87.59,51.25,14.27,49.94,30.91,32.04,31.0,29.56,20.52,17.42,22.74,81.54,58.78,64.16,46.34,38.96,65.53,42.2,13.79,5.34,10.78,17.06,69.72,41.17,67.58,19.73,55.17,27.38
2011-01-07,45.21,42.69,45.24,64.84,325.0,61.08,59.6,33.17,26.3,56.74,48.39,46.77,163.82,36.38,37.22,50.43,16.81,36.04,16.39,185.49,36.93,50.45,28.91,80.04,21.54,28.32,140.34,82.79,29.3,45.04,33.53,45.32,87.77,50.55,14.08,50.54,30.93,32.0,30.97,29.48,20.56,17.47,22.62,82.46,58.61,64.56,46.42,39.11,66.1,42.39,13.52,5.31,10.63,16.9,70.1,40.39,67.73,19.75,55.87,27.05
2011-01-10,45.05,42.79,45.05,64.57,331.12,60.77,60.5,33.17,25.95,56.67,48.89,46.21,162.93,36.18,38.03,50.11,16.88,36.16,16.32,184.68,36.68,50.23,28.97,80.9,21.56,28.02,140.06,82.09,29.02,44.38,33.66,44.87,87.45,50.48,14.23,47.41,30.92,32.01,31.12,29.5,20.48,17.51,22.23,82.77,58.48,64.52,46.46,39.11,65.34,42.18,13.55,5.32,10.73,16.6,69.67,40.17,66.99,19.58,54.95,26.93
2011-01-11,45.92,43.35,44.67,64.44,330.33,61.02,61.98,33.03,25.85,56.55,48.05,47.65,162.54,36.33,37.92,50.63,16.99,36.36,16.28,184.34,36.87,50.4,28.8,81.44,21.44,28.23,139.72,83.38,29.21,44.33,33.8,45.14,87.97,50.3,14.52,48.77,31.09,32.45,31.23,29.58,20.85,17.48,22.09,83.38,58.19,64.58,46.34,39.37,65.41,42.71,13.62,5.33,10.8,16.58,70.19,40.35,67.3,19.66,54.53,27.0
